season,variable,week,metric,model,n_init,point,ci_lo,ci_hi
jfm,z500,3,rmse,ncep,90,36.148953147820336,31.220351849715776,41.370847276295606
jfm,z500,3,rmse,spire,90,24.45997299346666,21.716718504171638,27.385528430100763
jfm,z500,3,rmse,ukmo,90,27.727787554612725,24.270570945504854,31.525199225051818
jfm,z500,4,rmse,delysm,90,33.754210561958345,30.1945409757719,37.465250460295245
jfm,z500,4,rmse,ecmwf,90,27.1023563790938,24.359072344304675,30.08221059368405
jfm,z500,4,rmse,fuxi,90,38.12765239757971,34.358938183038745,42.00310777107953
jfm,z500,4,rmse,mme,90,27.56545408473418,24.548509793362697,30.85351974155756
jfm,z500,4,rmse,ncep,90,36.491316675232895,32.35846743512264,40.78419482437928
jfm,z500,4,rmse,spire,90,25.330740351232787,22.27166567668908,28.526185909321665
jfm,z500,4,rmse,ukmo,90,27.67737544756655,24.475023515799275,31.213482719735637
jfm,z500,5,rmse,delysm,90,31.382290627651148,28.21181828351452,34.748252699585485
jfm,z500,5,rmse,ecmwf,90,28.59917221888713,25.710461990776842,31.564419118855692
jfm,z500,5,rmse,fuxi,90,33.4282637926871,29.565856199902285,37.43633114506058
jfm,z500,5,rmse,mme,90,27.23541862087304,24.164112951410985,30.54928866621096
jfm,z500,5,rmse,ncep,90,35.970371741789975,31.989066809879088,40.215142478670714
jfm,z500,5,rmse,spire,90,26.87270315675139,23.961043618234328,29.894706319517027
jfm,z500,5,rmse,ukmo,90,29.563320623908456,26.282235236345944,33.070987956962796
jfm,z500,6,rmse,delysm,90,31.871280095697884,28.64252322566819,35.291070356011964
jfm,z500,6,rmse,ecmwf,90,30.096663199129495,26.807699806262264,33.65127705582895
jfm,z500,6,rmse,fuxi,90,31.168499752773023,27.851360452766286,34.68485714670598
jfm,z500,6,rmse,mme,90,27.857807515731146,24.650186863568564,31.40817912343629
jfm,z500,6,rmse,ncep,90,36.3007064128803,32.30156169457829,40.59219076601772
jfm,z500,6,rmse,spire,90,28.37791785891561,25.482202098865297,31.39818438034482
jfm,z500,6,rmse,ukmo,90,30.986563191595856,27.12410617620269,35.15345834974002
jfm,z500,1,bias,delysm,90,8.7742565887931,7.363949123135656,10.172636031821735
jfm,z500,1,bias,ecmwf,90,3.8066643523038306,3.240570761358971,4.383707161105396
jfm,z500,1,bias,fuxi,90,-2.149776423450501,-3.1804758534255755,-1.1072145274193854
jfm,z500,1,bias,mme,90,1.0941211892538873,0.1823160749512578,1.9974308480985992
jfm,z500,1,bias,ncep,90,-14.879023519563564,-16.707658392374007,-13.104168117993297
jfm,z500,1,bias,spire,90,11.337542179755635,10.109814259963912,12.534533924116417
jfm,z500,1,bias,ukmo,90,-0.3249360423151534,-1.3808848821557085,0.7536077549862307
jfm,z500,2,bias,delysm,90,4.246352193974951,0.654372665746902,7.855025986609551
jfm,z500,2,bias,ecmwf,90,-1.5353510988665138,-4.3405700002994365,1.2144630199761939
jfm,z500,2,bias,fuxi,90,-14.101559729150777,-17.35557295389831,-10.872961099573512
jfm,z500,2,bias,mme,90,-5.320632497427987,-8.310699556019667,-2.3279427100397303
jfm,z500,2,bias,ncep,90,-25.650334668389238,-30.21948099843482,-21.207504044018215
jfm,z500,2,bias,spire,90,9.383565462715952,6.39988150308191,12.337001246289057
jfm,z500,2,bias,ukmo,90,-4.266467144852291,-8.01322760522906,-0.5713722692207933
jfm,z500,3,bias,delysm,90,-0.8763652455312826,-6.345270983146829,4.453020614355897
jfm,z500,3,bias,ecmwf,90,-6.466793535777558,-11.074773105019059,-2.122459766247323
jfm,z500,3,bias,fuxi,90,-23.058417884696265,-27.547317793148572,-18.64371631514023
jfm,z500,3,bias,mme,90,-10.160736806663484,-14.821276479074339,-5.733378499014131
jfm,z500,3,bias,ncep,90,-28.71584671424111,-34.604847389068205,-23.226205783688535
jfm,z500,3,bias,spire,90,7.071614234366103,2.2572840109612438,11.626250990542818
jfm,z500,3,bias,ukmo,90,-8.918611694100882,-14.336241674051003,-3.6185679285962515
jfm,z500,4,bias,delysm,90,-4.142732448843621,-10.202397856852679,1.9445241504858912
jfm,z500,4,bias,ecmwf,90,-9.145679999108427,-14.03413145312963,-4.3593835398743535
jfm,z500,4,bias,fuxi,90,-23.30861418734192,-28.43068387962874,-18.109565943403698
jfm,z500,4,bias,mme,90,-11.263864341789075,-16.123047238356268,-6.415072974835921
jfm,z500,4,bias,ncep,90,-29.49031556879497,-34.25948958462345,-24.96120911282837
jfm,z500,4,bias,spire,90,5.993060176447934,1.0027155179297575,11.096377985093737
jfm,z500,4,bias,ukmo,90,-7.488904023093452,-12.796297179602222,-2.1718111831753393
jfm,z500,5,bias,delysm,90,-4.939076618962945,-10.186993255590513,0.11082822632341294
jfm,z500,5,bias,ecmwf,90,-6.188279081817484,-11.556646062384011,-0.9197058940140649
jfm,z500,5,bias,fuxi,90,-16.401343224628192,-21.603691767524506,-11.305944526155901
jfm,z500,5,bias,mme,90,-8.918379477442183,-14.040846925435405,-4.030483669454735
jfm,z500,5,bias,ncep,90,-27.916343070996263,-32.88900140315023,-23.20741647828448
jfm,z500,5,bias,spire,90,6.8795236280790375,1.707224609649168,11.95724937861455
jfm,z500,5,bias,ukmo,90,-4.944758496327223,-10.842144859477798,0.8418717476152485
jfm,z500,6,bias,delysm,90,-1.7779419027570518,-7.250200324601613,3.559567819819535
jfm,z500,6,bias,ecmwf,90,-2.2345145809222986,-8.078061061529972,3.4990936533317964
jfm,z500,6,bias,fuxi,90,-8.727278968356849,-13.80918263087123,-3.6947766498580004
jfm,z500,6,bias,mme,90,-5.135177864643682,-10.58532773819839,0.16811342626953998
jfm,z500,6,bias,ncep,90,-26.95408596643656,-32.14172500506761,-21.903849612565946
jfm,z500,6,bias,spire,90,7.618289074780932,2.204655980319936,12.879494816047051
jfm,z500,6,bias,ukmo,90,1.2644651558296982,-5.344352861882197,7.626618715620242
jfm,z500,1,crpss_clim,delysm,90,0.5431036352374368,0.47779031848901216,0.6046472433560065
jfm,z500,1,crpss_clim,ecmwf,90,0.8170691167354769,0.7928860502105985,0.8398521530060583
jfm,z500,1,crpss_clim,fuxi,90,0.680704307390061,0.6421276422760088,0.7176462152351206
