season,variable,week,metric,model_a,model_b,n_init,diff,ci_lo,ci_hi,p_value,significant_95
jfm,tp,5,bias,ecmwf,ncep,90,-0.3345127475250512,-0.44106159912522735,-0.22854566073977226,0.0,True
jfm,tp,5,bias,ecmwf,spire,90,-0.3690595063940089,-0.4067066975005245,-0.3320057619010164,0.0,True
jfm,tp,5,bias,ecmwf,ukmo,90,-0.40161148419073084,-0.49287681683719603,-0.3129744677148437,0.0,True
jfm,tp,5,bias,fuxi,ncep,90,-0.3759538459453307,-0.4916047322986505,-0.26014928011190336,0.0,True
jfm,tp,5,bias,fuxi,spire,90,-0.4105006048142884,-0.46202332980755123,-0.3596986042849382,0.0,True
jfm,tp,5,bias,fuxi,ukmo,90,-0.4430525826110103,-0.5336917764318893,-0.35361032203163123,0.0,True
jfm,tp,5,bias,ncep,spire,90,-0.0345467588689577,-0.1141161653883585,0.04678885165442282,0.3952,False
jfm,tp,5,bias,ncep,ukmo,90,-0.06709873666567961,-0.17095877013763747,0.03794106052611854,0.2132,False
jfm,tp,5,bias,spire,ukmo,90,-0.03255197779672191,-0.11384921395423049,0.04623606999473653,0.434,False
jfm,tp,6,bias,ecmwf,fuxi,90,0.07175952296145088,0.03655198350393335,0.10770456193877397,0.0006,True
jfm,tp,6,bias,ecmwf,ncep,90,-0.5073556484491414,-0.6123050742656877,-0.40487574498575546,0.0,True
jfm,tp,6,bias,ecmwf,spire,90,-0.4330434305344312,-0.4702496926166304,-0.3949561735999808,0.0,True
jfm,tp,6,bias,ecmwf,ukmo,90,-0.481165216302186,-0.5718126221894635,-0.39231968503618236,0.0,True
jfm,tp,6,bias,fuxi,ncep,90,-0.5791151714105923,-0.6883540154401833,-0.4725547951000443,0.0,True
jfm,tp,6,bias,fuxi,spire,90,-0.504802953495882,-0.5522756093824178,-0.4575153629561737,0.0,True
jfm,tp,6,bias,fuxi,ukmo,90,-0.5529247392636369,-0.6406524640572211,-0.46599614987355864,0.0,True
jfm,tp,6,bias,ncep,spire,90,0.07431221791471027,-0.0024681107637293813,0.15215656497899707,0.0568,False
jfm,tp,6,bias,ncep,ukmo,90,0.026190432146955392,-0.07309822209852382,0.13222367931435697,0.6278,False
jfm,tp,6,bias,spire,ukmo,90,-0.04812178576775488,-0.12350120687453169,0.026553787746531485,0.2108,False
jfm,tp,1,crpss_clim,ecmwf,fuxi,90,0.13345157812130154,0.09614270599957991,0.17586648453946582,0.0,True
jfm,tp,1,crpss_clim,ecmwf,ncep,90,0.1627693984476305,0.13737973630360714,0.18846195894942422,0.0,True
jfm,tp,1,crpss_clim,ecmwf,spire,90,-0.02564778657241762,-0.04520200113435058,-0.006370237632408075,0.0068,True
jfm,tp,1,crpss_clim,ecmwf,ukmo,90,0.1391648754249355,0.11172543537978218,0.16980708742245376,0.0,True
jfm,tp,1,crpss_clim,fuxi,ncep,90,0.02931782032632896,-0.007089487307916963,0.06263652003881963,0.1124,False
jfm,tp,1,crpss_clim,fuxi,spire,90,-0.15909936469371916,-0.21102821402859578,-0.11126766510524636,0.0,True
jfm,tp,1,crpss_clim,fuxi,ukmo,90,0.005713297303633957,-0.03933156929429531,0.04953857744405528,0.7832,False
jfm,tp,1,crpss_clim,ncep,spire,90,-0.18841718502004812,-0.22431177642795946,-0.15329104200850707,0.0,True
jfm,tp,1,crpss_clim,ncep,ukmo,90,-0.023604523022695,-0.057085317407694264,0.011849640282145508,0.1924,False
jfm,tp,1,crpss_clim,spire,ukmo,90,0.16481266199735312,0.13295492620828273,0.1994362046090773,0.0,True
jfm,tp,2,crpss_clim,ecmwf,fuxi,90,0.23519669194065823,0.16125543073623652,0.3236934910265033,0.0,True
jfm,tp,2,crpss_clim,ecmwf,ncep,90,0.17596934850311313,0.14209720805181061,0.2099256344390429,0.0,True
jfm,tp,2,crpss_clim,ecmwf,spire,90,0.1112126894080287,0.07645787765473726,0.14734185498477712,0.0,True
jfm,tp,2,crpss_clim,ecmwf,ukmo,90,0.24211795678809328,0.19956480342521005,0.2895637387005812,0.0,True
jfm,tp,2,crpss_clim,fuxi,ncep,90,-0.0592273434375451,-0.1561022763202255,0.02136301071681949,0.1698,False
