season,variable,model,region,init_date,scale,lead,week,clim_basis,event,brier,brier_clim,briss_clim,base_rate
JFM2026,TP,ECMWF,south_peninsula,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.09948069531246034,0.11375066877967645,0.1254495786293407,0.007918673005695957
JFM2026,TP,ECMWF,south_peninsula,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.09996726788264418,0.11375066877967645,0.12117204272204607,0.007918673005695957
JFM2026,TP,ECMWF,south_peninsula,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.09813940341789235,0.11375066877967645,0.13724108639766808,0.007918673005695957
JFM2026,TP,FuXi,All India,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.06166774660544353,0.13393942837031997,0.5395848156456022,0.06848495177762647
JFM2026,TP,FuXi,All India,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.029405227485114715,0.13223974496461632,0.7776369918666832,0.06338590156051563
JFM2026,TP,FuXi,All India,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.1731850977418049,0.13093086551046193,-0.3227217055856604,0.05945926319805248
JFM2026,TP,FuXi,All India,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.11174673187616291,0.12461590040512055,0.10327067803643486,0.04051436788202836
JFM2026,TP,FuXi,All India,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.13045335072186162,0.12956062988138994,-0.006890371259301142,0.05534855631083661
JFM2026,TP,FuXi,All India,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.18239565974365252,0.13924479629230702,-0.3098921080020962,0.08440105554358772
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.0833280739544963,0.12463037677406107,0.33139836281198565,0.040557796988849905
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.04209731555895247,0.12331268167902545,0.6586132505938933,0.03660471170374307
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.3111363298928767,0.12396854460444026,-1.509800618258872,0.03857230047998749
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.19069119885575275,0.11949890597423735,-0.5957568590365478,0.02516338458937872
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.1991774077118241,0.12142248741398877,-0.6403667224566953,0.03093412890863304
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.24538030635219243,0.12462440752985507,-0.9689586591888835,0.04053988925623191
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,1.0336014280659355e-05,0.1117160002084153,0.9999074795529613,0.001814667291912565
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.0016998491402091475,0.1117160002084153,0.9847841926220242,0.001814667291912565
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.04435402749490208,0.11234533161637382,0.6051991938004331,0.0037026615157880562
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.04487785431851634,0.11234533161637382,0.6005365450185239,0.0037026615157880562
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.07908076756135037,0.11295879044630926,0.2999148871115218,0.005543038005594375
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.10581563670464408,0.11234533161637382,0.058121639927386726,0.0037026615157880562
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.047419815466888296,0.11515148071707486,0.5881962162223694,0.01212110881789122
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.022533139538843956,0.11812155944856817,0.8092377069517508,0.02103134501237116
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.09010803584118039,0.11352859498058508,0.20629656469728985,0.007252451608421883
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.0610437512561359,0.11235432736816633,0.4566853570659033,0.003729648771165632
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.11096958902139735,0.11476201657474888,0.03304601702324894,0.010952716390913246
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.2185676273422247,0.12185772169973505,-0.7936296879141467,0.0322398317658718
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.09644727001818082,0.11577490400410206,0.16694148142188436,0.013991378678972778
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.04042383156078792,0.11242283696194075,0.6404304262978804,0.003935177552488845
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.16920101021247036,0.11442172764239615,-0.47874895527951367,0.009931849593855055
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.10950503384443282,0.11375066877967645,0.03732404372467468,0.007918673005695957
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.07973197008324166,0.11375066877967645,0.2990637247357689,0.007918673005695957
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.06478516752412193,0.11375066877967645,0.4304634142450252,0.007918673005695957
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.11648973131906983,0.13393942837031997,0.1302805101049459,0.06848495177762647
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.11370333486998657,0.13223974496461632,0.14017276046312388,0.06338590156051563
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.14658076899166284,0.13093086551046193,-0.11952799227429245,0.05945926319805248
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.13632800173027676,0.12461590040512055,-0.09398560927683142,0.04051436788202836
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.15951116175957591,0.12956062988138994,-0.23117000824714307,0.05534855631083661
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.18164199778401915,0.13924479629230702,-0.30447961159504033,0.08440105554358772
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.16156069256546168,0.12463037677406107,-0.29631873662991937,0.040557796988849905
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.1734401178326113,0.12331268167902545,-0.4065067393803352,0.03660471170374307
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.21578765049829315,0.12396854460444026,-0.7406645466947279,0.03857230047998749
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.17930869373083266,0.11949890597423735,-0.5005048980907796,0.02516338458937872
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.20261828743503513,0.12142248741398877,-0.6687047988418331,0.03093412890863304
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.22732726896456606,0.12462440752985507,-0.8240990947949538,0.04053988925623191
JFM2026,TP,SPIRE,east_northeast_india,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.007222087800574154,0.1117160002084153,0.9353531473817469,0.001814667291912565
JFM2026,TP,SPIRE,east_northeast_india,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.011652711183646927,0.1117160002084153,0.8956934444313451,0.001814667291912565
