season,variable,model,region,init_date,scale,lead,week,clim_basis,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,12,Week 2,era5,0.07392238748379955,0.24720691738143136,0.024285544716028812,0.7009695834290107,-2.043884267294598,0.28212034355737914,0.06212711637032483,4.541017836329751
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,13,Week 2,era5,0.03563950638416837,0.2455538664900927,0.03455876388573232,0.8548607403597682,-0.031272602863039234,0.08623284448183245,0.062271954806065254,1.3847781838612432
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,14,Week 2,era5,0.07379721294138593,0.24973421967424705,0.017443549139247946,0.7044969926922834,-3.230630610335047,0.30533693528770267,0.08129022682639218,3.7561333903003713
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,15,Week 3,era5,0.08321243466485694,0.2507777574498462,0.017146022758363178,0.6681825552989928,-3.8531624994064044,0.3404809992933818,0.08747847167477191,3.892169041992692
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,16,Week 3,era5,0.12720585861567538,0.2519124242457923,0.01745803315765247,0.4950393614109325,-6.286379712248203,0.517815538012808,0.12773079980127738,4.0539598813944755
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,17,Week 3,era5,0.16481619965409144,0.2520551746970598,0.024103467555093933,0.3461106289439174,-5.83786261364124,0.6734240447829974,0.13473547913765246,4.998119642228711
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,18,Week 3,era5,0.23416330201637145,0.2530357614273639,0.019097392972171303,0.07458415879452651,-11.261532365050765,0.9359933559378047,0.25784364504062385,3.630081151662035
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,19,Week 3,era5,0.2677964520214618,0.25513575217399864,0.01752793732369344,-0.04962338574496905,-14.278263898140892,1.0603906970004895,0.2769954381530167,3.8281883054504053
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,20,Week 3,era5,0.3179787097405884,0.25664593101902416,0.01748544444532378,-0.23897818476232868,-17.185337566619705,1.2413949318561857,0.36931648702654346,3.361330932856416
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,21,Week 3,era5,0.29613258452588564,0.2579586541442053,0.017345906104259866,-0.14798468579519009,-16.072188834987433,1.141620389779619,0.3363108532337666,3.394539244875601
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,22,Week 4,era5,0.3167213589216004,0.25884720124643557,0.04073685045760181,-0.22358425123579262,-6.774812126215756,1.227019835212371,0.3578116780876019,3.4292336174448828
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,23,Week 4,era5,0.4377094207406145,0.2583058127111229,0.0200793409523663,-0.69453956977007,-20.79899339221248,1.7161167072050096,0.5045130947572054,3.4015305549816954
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,24,Week 4,era5,0.43068643927911654,0.255017225551542,0.03232217303493904,-0.6888523445725816,-12.324798391913838,1.6446856435656487,0.5506189110589533,2.986976310716572
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,25,Week 4,era5,0.5662561267565164,0.26210304073080287,0.02870011342594443,-1.160433260055532,-18.730100656836782,2.170532242348215,0.7007240946441831,3.097556169308518
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,26,Week 4,era5,1.4076967122285207,1.2110630513451737,1.1782074521975059,-0.16236451162880283,-0.19477831310860272,2.3445699043602835,4.4017830853033475,0.5326409454814623
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,27,Week 4,era5,0.44311084179236043,0.2699904547371105,0.136970355188999,-0.6412092872832011,-2.235085732098252,1.7383772709515002,0.5080303861512505,3.4217978261519804
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,28,Week 4,era5,0.4034870985009669,0.2633786862098959,0.01929137906747986,-0.5319656434895177,-19.91540978431858,1.5766900147628333,0.4320262545099342,3.6495236071968358
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,29,Week 5,era5,0.37739771200867506,0.26574293756085515,0.020846256791165075,-0.42016083464965437,-17.103859881867198,1.479394300756097,0.41373752682989146,3.5756831440730084
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,30,Week 5,era5,0.3822510550690045,0.27494757089301036,0.07122520433018757,-0.39026889318381675,-4.3667947837250916,1.5145290908992424,0.391508791196733,3.8684421013120804
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,31,Week 5,era5,0.46453635314571573,0.3730603697609839,0.16222524232419336,-0.24520423716767237,-1.8635269486445232,1.3943253032404912,0.8714162504253693,1.600068053080111
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,32,Week 5,era5,0.3702117543993936,0.2904252107679968,0.07782388465583819,-0.2747232012689609,-3.7570454242497267,1.4462928337343917,0.4209660935197335,3.43565160234596
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,33,Week 5,era5,0.4277163196779777,0.3100477295595365,0.19636207997961042,-0.37951766421771516,-1.1782022258187035,1.49797313323829,0.5123760737303159,2.9235813497933423
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,34,Week 5,era5,0.3539557103172182,0.2615140790924243,0.04826024198582256,-0.3534862503220071,-6.33431279563828,1.366049301563449,0.41453007298665495,3.2954166430463694
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,35,Week 5,era5,0.31736197868892013,0.27109151907789764,0.017505404594578684,-0.17068206253153484,-17.12937124499283,1.2264138987259667,0.48892382026983083,2.5083946575749256
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,36,Week 6,era5,0.29938429698553426,0.2722901896422366,0.01745803315765247,-0.09950452999756143,-16.148798738207436,1.1773965873505432,0.3708971514327802,3.174455729309988
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,37,Week 6,era5,0.48774246965597257,0.27358808060010376,0.017456467160582585,-0.7827621312526858,-26.94050280444573,1.926871575251222,0.5664920497960141,3.4014097390158637
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,38,Week 6,era5,0.2693282865051025,0.2751601394403543,0.017469672595261814,0.021194395914732267,-14.416905213103458,1.0598579984112402,0.3316546822207769,3.195667226267925
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,39,Week 6,era5,0.22841507221572158,0.2768460248493847,0.017457305332639624,0.17493822661897163,-12.084211329491835,0.9091553150023985,0.237518399817744,3.8277258338723423
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,40,Week 6,era5,0.29227098004749985,0.27846770277642874,0.01745637149312431,-0.049568682951190324,-15.742939972526312,1.1576630101460073,0.33787771982794995,3.4262780355434463
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,41,Week 6,era5,0.35740096067862087,0.27995530829969084,0.01745803315765247,-0.27663577036383535,-19.472006064552552,1.4006562466645467,0.44150682498204313,3.172445288295405
