method,season,year,model,week,n_cases,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,MAM,2023,ERPAS,2,14,0.2616283455571622,0.29889507169896806,0.2536566369737753,0.008268713526949887,0.509802230706248,2.4950176237657926,1.490947315004065,0.04822464611305178
common_imd_1991_2020,MAM,2023,ERPAS,3,14,0.07177253035515216,0.07502227282708168,0.10049553815886796,-0.14160375112539492,0.26638074141409335,3.40489750470775,2.1218463608723686,0.3563830366508109
common_imd_1991_2020,MAM,2023,ERPAS,4,14,-0.017704836598494478,-0.018586168049898266,-0.0013692013196558508,-0.09692552042041486,0.08008373344777943,3.9908591493526293,2.509874394929868,0.6413392172469469
common_imd_1991_2020,MAM,2023,FuXi-S2S,1,14,0.5998979431965241,0.6696769215973578,0.6798799040775894,0.5407967611107962,0.773554279514358,1.5864283070094627,0.9204657998078821,-0.3883929027769214
common_imd_1991_2020,MAM,2023,FuXi-S2S,2,14,0.3323457183640904,0.3585584069812714,0.3276871820135972,0.15638118685256389,0.47188551286423697,2.326654457358742,1.3489312452058952,-0.5978348966054722
common_imd_1991_2020,MAM,2023,FuXi-S2S,3,14,0.22587928506515834,0.24362111797600242,0.2924672092336791,0.04682319175684846,0.4565253823843294,3.1576955978791053,1.91125581007003,-0.3608728854145578
common_imd_1991_2020,MAM,2023,FuXi-S2S,4,14,0.14447622712242178,0.15203255186846307,0.22547654523514798,-0.05053409006050515,0.31886204824147585,3.480052280139348,2.146102910284928,-0.04726865102737669
common_imd_1991_2020,MAM,2024,ERPAS,1,13,0.3978138062623496,0.4178580401595603,0.37019256716542104,0.2783520276154329,0.5500075636898221,2.1839729190023363,1.0720899696859383,0.11053218491305147
common_imd_1991_2020,MAM,2024,ERPAS,2,13,0.14183434198723058,0.14679342070570675,0.15396959114139822,0.007912203028216045,0.22819800629861717,2.8066936708886816,1.4647440820960504,-0.005032241502731456
common_imd_1991_2020,MAM,2024,ERPAS,3,13,-0.0935387370667633,-0.09644666860402433,-0.08363770782448476,-0.21134189469662815,0.10275454430399296,3.7545824433866724,1.944652493603728,0.4582432643120704
