method,season,year,week,n_cases,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,JJAS,2023,3,17,0.10411628089404655,0.2625432255460114,0.09692592720085089,0.24122390947261885,0.14429798227176796,0.15842694465196483
common_imd_1991_2020,JJAS,2023,4,17,0.09868567933525675,0.1796350796221367,0.08930081722173658,0.15754847703869157,0.06824765981695499,0.08094940028687996
common_imd_1991_2020,JJAS,2024,1,14,0.4555692530442025,0.4435846912532348,0.4276595392071118,0.42818133186983004,0.0005217926627182345,-0.011984561790967685
common_imd_1991_2020,JJAS,2024,2,14,0.15102556871443018,0.3092729969638117,0.14480031449013903,0.2955165381195082,0.15071622362936915,0.15824742824938154
common_imd_1991_2020,JJAS,2024,3,14,0.03981702984475951,0.1665275869896599,0.04011445748648064,0.159797172530852,0.11968271504437135,0.12671055714490037
common_imd_1991_2020,JJAS,2024,4,14,0.08297188150987246,0.16977739563242736,0.0784816381435334,0.16462042995374634,0.08613879181021294,0.0868055141225549
common_imd_1991_2020,JJAS,ALL,1,31,0.48198505095460614,0.49831475791405544,0.45879997217416174,0.48091928271910933,0.02211931054494759,0.016329706959449297
common_imd_1991_2020,JJAS,ALL,2,31,0.1829237778906315,0.3303733473091821,0.17037699919415247,0.2966926545117504,0.12631565531759795,0.1474495694185506
common_imd_1991_2020,JJAS,ALL,3,31,0.0751531149801386,0.21969942463981185,0.07126913442661915,0.2044505444021435,0.13318140997552436,0.14454630965967324
common_imd_1991_2020,JJAS,ALL,4,31,0.09159474182943096,0.1751875629915117,0.08441473634770934,0.1607422622261357,0.07632752587842635,0.08359282116208074
common_imd_1991_2020,MAM,2023,1,14,0.5430504306655878,0.6696769215973578,0.4664543488943482,0.5998979431965241,0.1334435943021759,0.12662649093177003
common_imd_1991_2020,MAM,2023,2,14,0.29889507169896806,0.3585584069812714,0.2616283455571622,0.3323457183640904,0.07071737280692819,0.05966333528230333
common_imd_1991_2020,MAM,2023,3,14,0.07502227282708168,0.24362111797600242,0.07177253035515216,0.22587928506515834,0.15410675471000618,0.16859884514892073
common_imd_1991_2020,MAM,2023,4,14,-0.018586168049898266,0.15203255186846307,-0.017704836598494478,0.14447622712242178,0.16218106372091626,0.17061871991836133
common_imd_1991_2020,MAM,2024,1,13,0.4178580401595603,0.5201062261660083,0.3978138062623496,0.48113407151898474,0.08332026525663516,0.10224818600644803
