method,season,year,region,week,n_cases,region_target_cells,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,JF,2024,south_peninsula,1,9,38,0.7103468478086745,0.855396712814095,0.6550375037795615,0.7364019887877428,0.08136448500818128,0.1450498650054205
common_imd_1991_2020,JF,2024,south_peninsula,2,9,38,0.4410655791413068,0.7319851327254862,0.33740537390632686,0.4472356767852054,0.10983030287887857,0.29091955358417937
common_imd_1991_2020,JF,2024,south_peninsula,3,9,38,0.38426298836349565,0.7560045504264489,0.3189386017195053,0.6465465979806155,0.32760799626111026,0.3717415620629532
common_imd_1991_2020,JF,2024,south_peninsula,4,9,38,0.35159751013615553,0.7789188437740997,0.33532677306720643,0.7121477758920278,0.3768210028248214,0.42732133363794417
common_imd_1991_2020,JF,ALL,central_india,1,17,64,0.9632138223607302,0.9380258344010522,0.6774311851696281,0.7123775262834222,0.03494634111379413,-0.025187987959677915
common_imd_1991_2020,JF,ALL,central_india,2,17,64,0.8914260252676156,0.8767443341227809,0.5719449940314022,0.49768311390491626,-0.07426188012648594,-0.014681691144834752
common_imd_1991_2020,JF,ALL,central_india,3,17,64,0.7785980888212158,0.7163731542220475,0.45026443740601124,0.3855019898123805,-0.06476244759363076,-0.062224934599168336
common_imd_1991_2020,JF,ALL,central_india,4,17,64,0.5809105920418118,0.7039802762129524,0.3167860867114212,0.5263496560379363,0.20956356932651504,0.12306968417114061
common_imd_1991_2020,JF,ALL,east_northeast_india,1,17,36,0.535683859691277,0.551510089066322,0.4237352162485023,0.45041886858892977,0.026683652340427466,0.015826229375045076
common_imd_1991_2020,JF,ALL,east_northeast_india,2,17,36,0.2948443869728791,0.22985903744268055,0.22696704248757377,0.18332669350745395,-0.043640348980119814,-0.06498534953019858
common_imd_1991_2020,JF,ALL,east_northeast_india,3,17,36,0.25063197264058223,0.0024995778202108773,0.19880987600068034,0.018637848086406162,-0.18017202791427417,-0.24813239482037136
common_imd_1991_2020,JF,ALL,east_northeast_india,4,17,36,0.09027106605913186,0.08246220599694315,0.0644909991575945,0.07301194228815927,0.00852094313056477,-0.007808860062188713
common_imd_1991_2020,JF,ALL,northwest_india,1,17,68,0.7743592643611598,0.8587824631158064,0.5907666244416129,0.5983249986651868,0.0075583742235739715,0.08442319875464666
common_imd_1991_2020,JF,ALL,northwest_india,2,17,68,0.6290507721901415,0.5164464521568871,0.47333569090591004,0.3737621177867709,-0.09957357311913917,-0.11260432003325438
common_imd_1991_2020,JF,ALL,northwest_india,3,17,68,0.3266244290134191,0.1402971840686508,0.24142320301635198,0.10252292887040065,-0.13890027414595132,-0.1863272449447683
