method,season,year,region,model,week,n_cases,region_target_cells,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,JJAS,2023,east_northeast_india,FuXi-S2S,1,17,36,0.28051894115438797,0.2996597570541145,0.2994714293580012,0.09342689429084662,0.4813514645479708,7.149457412958557,4.949597907015111,0.587314221866834
common_imd_1991_2020,JJAS,2023,east_northeast_india,FuXi-S2S,2,17,36,0.14212920997496967,0.15614405750933832,0.06032060093560706,-0.06717992359567304,0.3737805404427042,8.220768067458804,6.158682071748311,1.852884291680485
common_imd_1991_2020,JJAS,2023,east_northeast_india,FuXi-S2S,3,17,36,0.07815845771865047,0.08258216940997301,0.04032297971416053,-0.002146139787073483,0.27844150018425273,6.679093033968223,5.055692380641992,1.2674110592386776
common_imd_1991_2020,JJAS,2023,east_northeast_india,FuXi-S2S,4,17,36,0.037924313462167736,0.04172470202786911,0.004655718288113151,-0.12881057802364632,0.2622916831206128,7.139875326564469,5.503751762296198,2.485758241240503
common_imd_1991_2020,JJAS,2023,northwest_india,ERPAS,1,17,68,0.32422043639681913,0.38182541599127034,0.4357349352964607,-0.002337714473064454,0.5869929330584657,4.509476322255857,2.966093605056594,0.15438991372739938
common_imd_1991_2020,JJAS,2023,northwest_india,ERPAS,2,17,68,0.05871382202820968,0.0646133078973219,0.0321476479858285,-0.13807386184137208,0.26463048644332937,5.215463617950644,3.615099366708801,0.15117891846397238
common_imd_1991_2020,JJAS,2023,northwest_india,ERPAS,3,17,68,0.07014078380710796,0.07399396022291883,0.10022427691055853,-0.08451039146579273,0.24857401192760936,4.681293794135372,3.508304972511886,0.9130515691870563
common_imd_1991_2020,JJAS,2023,northwest_india,ERPAS,4,17,68,0.0891380306921158,0.09412096185371793,0.11907324836842159,-0.09102678557931229,0.28787635016501845,4.232532397921074,3.176792335809016,0.6719590909674513
common_imd_1991_2020,JJAS,2023,northwest_india,FuXi-S2S,1,17,68,0.5052063316159813,0.5452564977834825,0.564078526318286,0.32492498174078954,0.6864994292912544,3.7225099304332274,2.4431574704228027,-0.7046819176775886
common_imd_1991_2020,JJAS,2023,northwest_india,FuXi-S2S,2,17,68,0.2174127023628114,0.2538456444180563,0.21671009731306648,0.10206012036667998,0.5245670006403382,4.566941014314915,2.997578681067859,-1.0622752091517924
common_imd_1991_2020,JJAS,2023,northwest_india,FuXi-S2S,3,17,68,0.1188230248938915,0.12753586076777473,0.19248662916515058,-0.04985566547800104,0.3219388368028296,4.201768847893844,2.929558287820028,-0.46999320356195157
common_imd_1991_2020,JJAS,2023,northwest_india,FuXi-S2S,4,17,68,0.06686010727530045,0.08431476036280972,-0.0971771114034645,-0.2071567547370873,0.3966402352985465,3.9816943067851476,2.855177910573378,0.07051211555468317
common_imd_1991_2020,JJAS,2023,south_peninsula,ERPAS,1,17,38,0.6040042131386762,0.7424494147179977,0.6653467489477158,0.5043471462033652,0.9155486910866271,3.7523146584819664,2.6053505556854932,0.07673048040926539
common_imd_1991_2020,JJAS,2023,south_peninsula,ERPAS,2,17,38,0.48666686942746745,0.5828321741889936,0.6023947514487901,0.26110249389780327,0.7656642239254869,4.944571323168623,3.8390151459542095,1.8170984187459118
common_imd_1991_2020,JJAS,2023,south_peninsula,ERPAS,3,17,38,0.27633363138492073,0.32574941031862437,0.23947796677940658,-0.0074420543426813495,0.6655986386290774,5.748381878545583,4.60010197548365,2.4356024061446537
common_imd_1991_2020,JJAS,2023,south_peninsula,ERPAS,4,17,38,0.296615391242085,0.36154553922787586,0.31202083426212146,0.0030460783152795826,0.5840375952590432,5.50533463232596,4.422458280969472,1.8609580503342964
common_imd_1991_2020,JJAS,2023,south_peninsula,FuXi-S2S,1,17,38,0.44200074718523086,0.5257645833312475,0.5039817515904399,0.36131408366113443,0.6933990912182646,4.820715727037596,3.0977338957290645,-0.1997925993103966
common_imd_1991_2020,JJAS,2023,south_peninsula,FuXi-S2S,2,17,38,0.3327311970763009,0.43717327695607744,0.44800975812263716,-0.14243108764199391,0.5720629313689853,5.0361929367403,3.4047774468138057,-0.32556729072521556
common_imd_1991_2020,JJAS,2023,south_peninsula,FuXi-S2S,3,17,38,0.22206651376466524,0.2706173986405105,0.19065528521933484,0.029305224133871866,0.2970961815080891,4.857433224415983,3.2663772704882565,-0.46848248106782664
common_imd_1991_2020,JJAS,2023,south_peninsula,FuXi-S2S,4,17,38,0.23950890954015444,0.3134661979498109,0.16535671318934875,-0.012960119264257122,0.44221332655466394,4.997576980440803,3.564153726060172,0.025204908946364558
common_imd_1991_2020,JJAS,2024,central_india,ERPAS,1,14,64,0.3454817004344703,0.38924325601552423,0.31854110667279056,0.05441903839542742,0.5704528409435331,6.517446571842961,4.601413468986139,0.2302691901483142
common_imd_1991_2020,JJAS,2024,central_india,ERPAS,2,14,64,0.06382792437672133,0.07549038632789112,-0.00371855691429535,-0.14696892246191576,0.18079126853908778,7.479561074747534,5.487110150236078,0.5192736570534359
common_imd_1991_2020,JJAS,2024,central_india,ERPAS,3,14,64,0.018770015501439235,0.022720943601652683,0.10073848522823937,-0.26405598186488516,0.2418728111924826,7.1208731223528625,5.478463567071346,0.45271638891160626
common_imd_1991_2020,JJAS,2024,central_india,ERPAS,4,14,64,0.0982124407900525,0.11741275420920066,0.03292182303861967,-0.1718876819859234,0.28458994558629236,7.121283576300994,5.301233682203433,-1.245931817329433
common_imd_1991_2020,JJAS,2024,central_india,FuXi-S2S,1,14,64,0.3545213700896062,0.37187006415448154,0.36510808056098787,0.27125308309908336,0.4429516463669314,6.731981069166656,4.513544034982501,0.07355594416953906
common_imd_1991_2020,JJAS,2024,central_india,FuXi-S2S,2,14,64,0.21312408059331384,0.23520775123491472,0.20148403442603985,0.15400800638352477,0.37402863334698344,7.149467799932958,5.0521492733361955,-0.42232035151279884
common_imd_1991_2020,JJAS,2024,central_india,FuXi-S2S,3,14,64,0.04136028461368121,0.03980755345843745,0.13770952883343013,-0.12982939979412683,0.1986578498695425,6.720376028829533,5.013059055292577,-0.8576707974757591
common_imd_1991_2020,JJAS,2024,central_india,FuXi-S2S,4,14,64,0.1356958056926672,0.14851845064028274,0.11807577988651313,-0.017444051157902832,0.36566491557905617,6.410503424523348,4.6425598732929165,-1.2916205100691107
common_imd_1991_2020,JJAS,2024,east_northeast_india,ERPAS,1,14,36,0.3490023190783466,0.38118324690043465,0.3075337739435333,0.1582127787227326,0.5319480724408874,7.069724532760105,5.4291240595463375,1.8216016804926676
common_imd_1991_2020,JJAS,2024,east_northeast_india,ERPAS,2,14,36,0.16171547867865607,0.1650197991682282,0.19365371153545008,0.09303248237740258,0.3370288045321575,8.407578343049613,6.527072492532613,1.9528780008736557
common_imd_1991_2020,JJAS,2024,east_northeast_india,ERPAS,3,14,36,0.15664229329189183,0.16303316990387484,0.2110637287908545,-0.022098765291171364,0.34159517599208655,8.11446833705431,6.756784676277724,4.1831243087379635
common_imd_1991_2020,JJAS,2024,east_northeast_india,ERPAS,4,14,36,0.0940218553950781,0.09848849530922257,0.1218251823584883,-0.1050702393902426,0.30970360456836765,8.187762650798863,6.6130343284409525,2.5309288409597928
common_imd_1991_2020,JJAS,2024,east_northeast_india,FuXi-S2S,1,14,36,0.2735547690962425,0.2943789787197722,0.3807832804125393,0.08459228242720757,0.4385786330090115,6.965427740499608,5.250642490563516,1.296394136684489
common_imd_1991_2020,JJAS,2024,east_northeast_india,FuXi-S2S,2,14,36,0.16740780499830882,0.1872580319306394,0.1953961639528343,-0.09580165907646304,0.4528792318882443,8.495450730632953,6.288823580156224,2.2933747334333483
common_imd_1991_2020,JJAS,2024,east_northeast_india,FuXi-S2S,3,14,36,0.07754487848185912,0.08628768395408985,0.05633727560542968,-0.07436808358105725,0.25464854699762374,7.726466107677567,5.90884956141404,2.7815992714374422
