Region,Week,Init_Date,Model,ACC,RMSE,Bias
northwest_india,Week 6,2026-01-08,NCEP,-0.6580661951399542,2.081946158276815,1.079911887181238
central_india,Week 6,2026-01-08,FuXi,0.9390553111729126,0.01600954997098672,-0.007946558878038279
central_india,Week 6,2026-01-08,Spire,0.6654347863477562,0.03893093452170907,0.02141630113648563
central_india,Week 6,2026-01-08,ECMWF,-0.41189116291111033,0.16105996177919307,0.03479503543013044
central_india,Week 6,2026-01-08,NCEP,-0.4018452254117268,0.22897919556377586,0.049662886789652985
south_peninsula,Week 6,2026-01-08,FuXi,-0.15582855152186856,0.1153361215565563,-0.027969764313955862
south_peninsula,Week 6,2026-01-08,Spire,-0.0801066984296609,0.11140407465464125,-0.010318556215313118
south_peninsula,Week 6,2026-01-08,ECMWF,0.6501982920888922,0.22188644961843917,0.09063116519942725
south_peninsula,Week 6,2026-01-08,NCEP,-0.09029396580395128,0.10951156752307054,-0.025702384297311434
east_northeast_india,Week 6,2026-01-08,FuXi,0.9887054196636286,0.010525756000939655,-0.0018145713046842067
east_northeast_india,Week 6,2026-01-08,Spire,0.9256877678866127,0.040169533560221383,0.03028486110212822
east_northeast_india,Week 6,2026-01-08,ECMWF,-0.47401112413673496,0.8503662855205862,0.42609491890817
east_northeast_india,Week 6,2026-01-08,NCEP,-0.1039944505027447,3.04270048137841,2.1199606640463644
All India,Week 6,2026-01-15,FuXi,-0.3424053393458236,0.18660874770508373,-0.07155113628348819
All India,Week 6,2026-01-15,Spire,-0.4482706656874647,0.19816408764237103,-0.05651477746499678
All India,Week 6,2026-01-15,ECMWF,0.32606452135116076,2.6900000656638845,1.24455623428113
All India,Week 6,2026-01-15,NCEP,-0.23363579787317776,1.4957880436096909,0.7233491387294446
northwest_india,Week 6,2026-01-15,FuXi,0.9041084780465249,0.02881387104045576,-0.01411682751665146
northwest_india,Week 6,2026-01-15,Spire,0.7011401069526609,0.029056273908567933,0.006368752855806335
northwest_india,Week 6,2026-01-15,ECMWF,-0.7248334151377499,1.4010152075855868,0.6341759578920274
northwest_india,Week 6,2026-01-15,NCEP,-0.720299955713528,2.189645470925731,1.1541263070335508
central_india,Week 6,2026-01-15,FuXi,0.9817958402208491,0.008275285633810534,-0.002521840727257714
central_india,Week 6,2026-01-15,Spire,0.6624367945317885,0.03376125035211033,0.01927312428340573
central_india,Week 6,2026-01-15,ECMWF,-0.2692041574654992,0.11800135676149272,0.025955329684358083
central_india,Week 6,2026-01-15,NCEP,-0.435108697753607,1.389325951175542,0.6784368872017035
south_peninsula,Week 6,2026-01-15,FuXi,-0.7621156478235465,0.224816080417782,-0.09805908740320707
south_peninsula,Week 6,2026-01-15,Spire,-0.7167247585544463,0.2860064840934735,-0.12614485259525582
south_peninsula,Week 6,2026-01-15,ECMWF,0.6816313368990857,0.3796595536799038,0.13305797859010657
south_peninsula,Week 6,2026-01-15,NCEP,0.6603910636084662,0.35750068286323633,0.16370975936620183
east_northeast_india,Week 6,2026-01-15,FuXi,0.9554472474572008,0.02388276648252952,-0.01111907254146026
east_northeast_india,Week 6,2026-01-15,Spire,0.8267832867186662,0.04664996342649702,0.022937003358333267
east_northeast_india,Week 6,2026-01-15,ECMWF,-0.36708139508215465,1.523894139997438,0.7547279681452315
east_northeast_india,Week 6,2026-01-15,NCEP,-0.13850537916174546,2.693928011334654,2.364047485456347
All India,Week 6,2026-01-22,FuXi,0.9554188741616624,0.02911989314886472,-0.012945343446974272
All India,Week 6,2026-01-22,Spire,0.8968861103364586,0.042883168539955996,-0.006606359575178708
All India,Week 6,2026-01-22,ECMWF,-0.35911150807176584,1.3491473663492823,0.5758819819209354
All India,Week 6,2026-01-22,NCEP,0.11114105618544434,0.5036534446335337,0.22239496493056254
northwest_india,Week 6,2026-01-22,FuXi,0.8234209578459455,0.02433050188161981,-0.008696896271524906
northwest_india,Week 6,2026-01-22,Spire,0.8575522976797454,0.032744660572036316,-0.009608993915596597
northwest_india,Week 6,2026-01-22,ECMWF,-0.4848845775080537,0.7611253199023904,0.5129614786453338
northwest_india,Week 6,2026-01-22,NCEP,-0.5400154986186498,0.8736488306064983,0.5292467049155644
central_india,Week 6,2026-01-22,FuXi,0.9903333558989762,0.007097629893711866,-0.0021164994512746517
central_india,Week 6,2026-01-22,Spire,0.896700931359394,0.026323786571270973,0.018546529670023383
central_india,Week 6,2026-01-22,ECMWF,-0.2443131444014308,0.5308721302043339,0.3320077303054992
central_india,Week 6,2026-01-22,NCEP,0.5566477272404847,0.0713229020484157,0.044672332190647736
south_peninsula,Week 6,2026-01-22,FuXi,0.9746156794372947,0.017539757300270277,-0.008925639486462043
