variable,model,valid_month,valid_month_name,region,lead_bucket,pcc,rmse,bias,msss_clim,std_ratio,n_init,crpss_clim,crps,ssr,spread,briss_clim
TP,Persistence,7,Jul,east_northeast_india,W1-2,0.44964384070165025,15.236318441300437,2.834733442049102,-5.4489007041103665,1.6321861361303367,3,,,,,
TP,Persistence,7,Jul,east_northeast_india,W3-4,0.5268322519105978,13.243170260252292,-9.614549773976194,-0.7018786691165365,0.8139640946955539,3,,,,,
TP,Persistence,7,Jul,east_northeast_india,W5-6,0.4660857257521051,11.47930107409099,-9.2963632097482,-1.2079412218156016,0.9506453463590049,3,,,,,
TP,Persistence,8,Aug,All India,W1-2,0.2614596121561596,7.828574088641351,2.7311605430917623,-1.4437591382025843,1.2289861565178184,3,,,,,
TP,Persistence,8,Aug,All India,W3-4,0.07604015285599164,10.677844496940166,1.526681521577475,-2.3046492279573956,1.3922011345497767,3,,,,,
TP,Persistence,8,Aug,All India,W5-6,0.08570973450019917,10.30773484421454,-0.7534702663721206,-3.23241760675847,1.472438044638243,3,,,,,
TP,Persistence,8,Aug,northwest_india,W1-2,0.20588655883700327,6.72653341788465,2.9989037836926222,-3.248648542903613,1.335847684745243,3,,,,,
TP,Persistence,8,Aug,northwest_india,W3-4,0.2545431776266492,6.249115156759066,1.118152295143844,-3.1277505678982402,1.6266146496553682,3,,,,,
TP,Persistence,8,Aug,northwest_india,W5-6,0.21972852918893476,7.645641170305021,-1.7845803733123708,-3.305836713986765,1.4926436933406428,3,,,,,
TP,Persistence,8,Aug,central_india,W1-2,0.02908806934805382,9.462216078706023,2.7197005258311933,-2.888305541433338,1.305962354648658,3,,,,,
TP,Persistence,8,Aug,central_india,W3-4,0.15117820538173846,12.474596448905604,-1.455499685897808,-3.8515654764910137,1.165439528747777,3,,,,,
TP,Persistence,8,Aug,central_india,W5-6,0.08022101175288014,9.62180949143545,-4.475891122739669,-2.2764110116647283,1.060878412684676,3,,,,,
TP,Persistence,8,Aug,south_peninsula,W1-2,0.36840091537809116,5.87969715976325,1.1627357763786705,-1.694978818660528,1.5391459792763078,3,,,,,
TP,Persistence,8,Aug,south_peninsula,W3-4,0.09224149648542428,7.534526678614959,-0.30988789391540655,-2.3919716341406514,1.4715248542782342,3,,,,,
TP,Persistence,8,Aug,south_peninsula,W5-6,0.4401636712592204,5.311254253364395,-1.8553884452015903,-0.3552002096082362,1.1611063761697296,3,,,,,
TP,Persistence,8,Aug,east_northeast_india,W1-2,0.8632149943631783,5.64783266120883,4.12430498389505,0.08221405982670445,1.1701227457224375,3,,,,,
TP,Persistence,8,Aug,east_northeast_india,W3-4,0.373976957621742,14.682921679946892,11.519137422831275,-7.501926644364028,1.8383147046645099,3,,,,,
TP,Persistence,8,Aug,east_northeast_india,W5-6,0.02519106154933255,16.389530288623142,11.376150890299689,-6.922980411644426,1.7464417219761348,3,,,,,
TP,Persistence,9,Sep,All India,W1-2,0.3353958450160285,7.29328180402894,-2.9728177521675123,0.06608473897769086,0.6269855880256605,1,,,,,
TP,Persistence,9,Sep,All India,W3-4,0.3077884790535422,6.649281388593965,0.5018659506884919,-0.19183953570480253,1.0591491220926614,3,,,,,
TP,Persistence,9,Sep,All India,W5-6,0.1417779795124187,8.53817413246776,3.3227974057434,-1.4910168639064072,1.3573980648427801,3,,,,,
