method,initialization,lead_week,region,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,valid_area_weight,valid_cells
cma,2025-06-23,4,south_peninsula,-0.0860590244,6.713442531,4.309482667,-2.920943975,0.09172883257,0,517384.5263,34
cma,2025-06-23,4,east_northeast_india,0.4794007357,6.240132544,5.14565784,-0.7269467435,0.006004231522,0,476733.6896,35
cma,2025-06-23,5,india,-0.4394634098,8.770301877,6.343867338,-2.135310338,0.03996529737,0,3207490.246,171
cma,2025-06-23,5,northwest_india,-0.443814269,6.885059691,4.668568189,0.825279767,0.03735415405,0,1124851.459,68
cma,2025-06-23,5,central_india,-0.3072792701,9.921157111,7.626959793,-6.031756345,0.01400006406,0,1088520.578,67
cma,2025-06-23,5,south_peninsula,-0.7092864487,11.15392735,8.081422096,-5.308930176,0.1370954587,0,517384.5263,34
cma,2025-06-23,5,east_northeast_india,0.1494555496,6.774881534,5.481344297,3.220131037,0,0,476733.6896,35
cma,2025-06-23,6,india,0.04953520509,7.501227779,5.704410058,-0.02454511996,0.09334111499,0,3207490.246,171
cma,2025-06-23,6,northwest_india,0.02783268054,7.18585607,5.535069716,-3.271913557,-0.003219762841,0,1124851.459,68
cma,2025-06-23,6,central_india,0.09912995187,8.188613291,6.609806319,4.365073455,0.17798819,0,1088520.578,67
cma,2025-06-23,6,south_peninsula,0.6251501881,4.099839133,2.672228351,2.238444241,0.2056618256,0,517384.5263,34
cma,2025-06-23,6,east_northeast_india,-0.05988738312,9.241028012,7.32742133,-4.841109909,0.006004231522,0,476733.6896,35
cma,2025-06-26,1,india,0.3777349492,6.886576047,5.145118906,-2.024857109,-0.001396984104,0,3207490.246,171
cma,2025-06-26,1,northwest_india,0.462481193,5.459082714,4.164359302,-0.4068741922,-0.03377017657,0,1124851.459,68
cma,2025-06-26,1,central_india,0.009284746018,8.889162394,6.993621444,-5.115238385,0.0238592262,0,1088520.578,67
cma,2025-06-26,1,south_peninsula,-0.4571559344,6.40945956,4.449710001,-1.07432587,-0.02362411555,0,517384.5263,34
cma,2025-06-26,1,east_northeast_india,0.780801547,4.874171714,3.993259079,0.1821675643,0.04144266091,0,476733.6896,35
cma,2025-06-26,2,india,0.2893834303,8.284469445,5.509079777,-2.760236786,-0.01968888582,6.076117653e-05,3207490.246,171
cma,2025-06-26,2,northwest_india,0.06541629469,5.258691674,3.925622261,-1.377380286,-0.1683188562,0.0001732592152,1124851.459,68
cma,2025-06-26,2,central_india,0.2263159749,12.05442107,8.787125241,-7.079751224,0,0,1088520.578,67
cma,2025-06-26,2,south_peninsula,-0.4221313945,5.421002265,2.945709967,-0.6294538201,0.2145358178,0,517384.5263,34
cma,2025-06-26,2,east_northeast_india,0.7614457154,5.73044416,4.542465533,1.527142424,0.03185067445,0,476733.6896,35
cma,2025-06-26,3,india,0.03177175368,8.510918726,6.251061651,-0.6133276747,0.03705147728,0,3207490.246,171
cma,2025-06-26,3,northwest_india,-0.2034430462,7.494363633,5.667180592,-3.21991129,-0.05379069859,0,1124851.459,68
cma,2025-06-26,3,central_india,-0.1480778889,10.27644282,7.595302217,1.81966919,0.01906204965,0,1088520.578,67
cma,2025-06-26,3,south_peninsula,-0.3061978205,7.603682837,5.080081821,2.12019834,0.3065406034,0,517384.5263,34
cma,2025-06-26,3,east_northeast_india,0.631067067,7.138352177,5.83026657,-2.984949174,0,0,476733.6896,35
cma,2025-06-26,4,india,0.2573674101,6.359002926,4.688385569,-0.5431140606,-0.0498780105,0,3207490.246,171
cma,2025-06-26,4,northwest_india,-0.1046823972,6.472624145,5.040726942,-0.2097623274,-0.1844175149,0,1124851.459,68
