method,region,aggregation,cases,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,lead_week
equal_weight,south_peninsula,by_lead,35,0.1516013514,5.208436129,4.025039165,-0.3544531438,0.1230888892,0,6
fuxi_s2s,central_india,by_lead,35,0.5840209286,4.977401853,3.610141347,0.2064849704,-0.02625947977,0,1
fuxi_s2s,central_india,by_lead,35,0.2965031135,6.3450973,4.714994028,0.4512349382,0.005445059975,0,2
fuxi_s2s,central_india,by_lead,35,0.2321430125,6.223013558,4.647244473,-0.9089273639,0.0369509827,0,3
fuxi_s2s,central_india,by_lead,35,0.2876759714,5.746306533,4.233996488,-1.503448205,0.06173251321,0,4
fuxi_s2s,central_india,by_lead,35,0.1874082976,6.059872698,4.572085564,-1.010817521,0.0658611371,0,5
fuxi_s2s,central_india,by_lead,35,0.137924232,5.891215763,4.551688644,-0.2549058688,0.06703844988,0,6
fuxi_s2s,east_northeast_india,by_lead,35,0.4571055092,5.189956094,3.982400223,1.544621535,0.02368895454,0,1
fuxi_s2s,east_northeast_india,by_lead,35,0.3301498005,6.09728815,4.764672115,1.420937309,0.03645311559,0,2
fuxi_s2s,east_northeast_india,by_lead,35,0.1292477296,7.423622327,5.832096121,2.208000366,0.06597706868,0,3
fuxi_s2s,east_northeast_india,by_lead,35,-0.01807430118,7.783075703,6.128915369,3.057487299,0.106787284,0,4
fuxi_s2s,east_northeast_india,by_lead,35,-0.05092312979,6.991206506,5.590615918,2.4661871,0.1145976805,0,5
fuxi_s2s,east_northeast_india,by_lead,35,-0.04804223848,6.129569265,4.891327099,1.321446441,0.1296548874,0,6
fuxi_s2s,india,by_lead,35,0.6008281712,4.767794505,3.261118853,-0.01203232657,-0.01772586586,0,1
fuxi_s2s,india,by_lead,35,0.3889326549,5.823625882,4.108933931,-0.03748384588,-0.002235182673,0,2
fuxi_s2s,india,by_lead,35,0.2135558473,6.033546271,4.221744593,-0.6102974285,0.04020888908,0,3
fuxi_s2s,india,by_lead,35,0.1564685482,5.946560488,4.179304522,-0.6437013697,0.08137309205,0,4
fuxi_s2s,india,by_lead,35,0.1425847684,5.941319942,4.281642949,-0.4734045064,0.09269306083,0,5
fuxi_s2s,india,by_lead,35,0.1543716588,5.585974813,4.028681499,-0.398980816,0.08757694162,0,6
fuxi_s2s,northwest_india,by_lead,35,0.4479968083,4.072922391,2.850215751,-0.5741017687,0.006778137539,0,1
fuxi_s2s,northwest_india,by_lead,35,0.2038928122,5.091894087,3.676244087,-0.6949757448,0.02163481742,0,2
fuxi_s2s,northwest_india,by_lead,35,0.1315291106,4.910400303,3.520075362,-0.9990840924,0.0796163178,0,3
fuxi_s2s,northwest_india,by_lead,35,-0.008510151319,4.997286581,3.654862053,-1.15800196,0.09958809098,0,4
fuxi_s2s,northwest_india,by_lead,35,-0.002414381336,4.868228015,3.520165008,-1.289515712,0.1138773654,0,5
fuxi_s2s,northwest_india,by_lead,35,0.07728620242,4.480809366,3.202443008,-1.397978584,0.09191548365,0,6
fuxi_s2s,south_peninsula,by_lead,35,0.5152049392,4.041335972,2.755552238,-0.6841152079,-0.09120736322,0,1
fuxi_s2s,south_peninsula,by_lead,35,0.4037133935,4.517872368,3.170348521,-0.9800675741,-0.1059381711,0,2
fuxi_s2s,south_peninsula,by_lead,35,0.2798475869,4.855872324,3.368219764,-1.733611725,-0.06235653781,0,3
fuxi_s2s,south_peninsula,by_lead,35,0.2895006743,4.63056365,3.40800464,-1.127127966,0.05967589274,0,4
fuxi_s2s,south_peninsula,by_lead,35,0.1806877013,5.4028565,4.119993923,-0.2770579871,0.08290389123,0,5
fuxi_s2s,south_peninsula,by_lead,35,0.2178503102,5.191012909,3.929798199,-0.1154201277,0.08258332744,0,6
location_calendar_only,central_india,by_lead,35,0.07315576259,6.492895185,4.916170132,-0.8206730129,0.07601977415,0,1
location_calendar_only,central_india,by_lead,35,0.07288151202,6.472679818,4.894673005,-0.8773277828,0.06347737916,0,2
location_calendar_only,central_india,by_lead,35,0.06670583125,6.318422327,4.867095504,-0.4856733847,0.1084289165,0,3
location_calendar_only,central_india,by_lead,35,0.09985439853,6.035335271,4.665831553,-0.2887086204,0.1256764795,7.921803752e-05,4
location_calendar_only,central_india,by_lead,35,0.08174964967,6.030857066,4.623100128,-0.5787638951,0.09062259366,0,5
location_calendar_only,central_india,by_lead,35,0.1682515327,5.513207384,4.229881737,-0.3686015149,0.09760389948,0,6
location_calendar_only,east_northeast_india,by_lead,35,-0.2002925133,6.123409779,5.075787689,1.786967467,0.04342178753,0,1
location_calendar_only,east_northeast_india,by_lead,35,-0.1190849594,6.028182691,4.963536906,1.487965277,0.03830387959,0,2
location_calendar_only,east_northeast_india,by_lead,35,0.05777144932,5.569853544,4.552274034,0.8166278616,0.07006971324,0,3
location_calendar_only,east_northeast_india,by_lead,35,0.09326226836,5.249338016,4.361898994,1.072447071,0.1140673526,0,4
location_calendar_only,east_northeast_india,by_lead,35,-0.03958051899,5.168286919,4.335989667,1.240352368,0.1283277308,0,5
location_calendar_only,east_northeast_india,by_lead,35,0.03094237617,4.956453733,4.147185939,1.045661774,0.1379517137,0,6
location_calendar_only,india,by_lead,35,0.08509299514,5.841916918,4.253195558,-0.3785169123,0.1485676698,0,1
location_calendar_only,india,by_lead,35,0.05782802296,5.821347406,4.247034276,-0.4876328658,0.1304652065,0,2
location_calendar_only,india,by_lead,35,0.113570329,5.651817675,4.168468166,-0.444385349,0.1420027821,0.001791270912,3
location_calendar_only,india,by_lead,35,0.1311517199,5.50726196,4.059755053,-0.3207725805,0.1544660396,0.001878203237,4
location_calendar_only,india,by_lead,35,0.1073005845,5.491070934,4.020315146,-0.4067094362,0.1480916709,0,5
location_calendar_only,india,by_lead,35,0.1109689792,5.211028856,3.799127618,-0.3743867371,0.1426874816,0,6
location_calendar_only,northwest_india,by_lead,35,0.2319392424,4.805863284,3.59493116,-0.917624592,0.2662667806,0,1
location_calendar_only,northwest_india,by_lead,35,0.2244701553,4.886355498,3.645890344,-1.054420591,0.2338316846,0,2
location_calendar_only,northwest_india,by_lead,35,0.2503023128,4.866346331,3.583303314,-1.271380348,0.2071417858,0.005107771282,3
location_calendar_only,northwest_india,by_lead,35,0.2404943995,4.640035333,3.467964849,-1.072634851,0.213479631,0.005278997547,4
location_calendar_only,northwest_india,by_lead,35,0.2007231473,4.442951026,3.336172192,-0.7947851887,0.2266866238,0,5
location_calendar_only,northwest_india,by_lead,35,0.1308734898,4.231072072,3.173388413,-0.7764689741,0.1973365778,0,6
location_calendar_only,south_peninsula,by_lead,35,0.06690818853,4.704861206,3.531548196,-0.2715312836,0.1421941601,0,1
location_calendar_only,south_peninsula,by_lead,35,0.03627004566,4.679390297,3.531219683,-0.2558734458,0.1315902959,0,2
location_calendar_only,south_peninsula,by_lead,35,0.06959709994,4.571284164,3.617195627,0.2785236331,0.1373003945,0,3
location_calendar_only,south_peninsula,by_lead,35,0.05576289557,4.821938307,3.792849386,-0.03735408834,0.1239585926,0,4
location_calendar_only,south_peninsula,by_lead,35,0.07713652083,5.102910849,3.948652126,-0.7186581917,0.1163372646,0,5
location_calendar_only,south_peninsula,by_lead,35,-0.03468632798,5.122121824,3.932583111,-0.8208622324,0.1230888892,0,6
