provider,product_hint,season_hint,year,init_date,mmdd,forecast_type,variable,level,file_path,extension,size_bytes,nonempty
ecmwf,forecast,jjas,2025,2025-06-09,0609,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250609_cf.nc,.nc,88184,True
ecmwf,forecast,jjas,2025,2025-06-14,0614,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250614_cf.nc,.nc,89646,True
ecmwf,forecast,jjas,2025,2025-06-16,0616,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250616_cf.nc,.nc,88017,True
ecmwf,forecast,jjas,2025,2025-08-04,0804,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250804_cf.nc,.nc,87279,True
ecmwf,forecast,jjas,2025,2025-06-26,0626,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250626_pf.nc,.nc,6037052,True
ecmwf,forecast,jjas,2025,2025-06-19,0619,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250619_cf.nc,.nc,89590,True
ecmwf,forecast,jjas,2025,2025-06-18,0618,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250618_pf.nc,.nc,6077317,True
ecmwf,forecast,jjas,2025,2025-06-17,0617,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250617_cf.nc,.nc,88612,True
ecmwf,forecast,jjas,2025,2025-06-04,0604,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250604_cf.nc,.nc,87727,True
ecmwf,forecast,jjas,2025,2025-07-14,0714,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250714_cf.nc,.nc,90245,True
ecmwf,forecast,jjas,2025,2025-06-26,0626,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250626_cf.nc,.nc,89281,True
ecmwf,forecast,jjas,2025,2025-06-05,0605,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250605_pf.nc,.nc,5966853,True
ecmwf,forecast,jjas,2025,2025-07-08,0708,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250708_cf.nc,.nc,89114,True
ecmwf,forecast,jjas,2025,2025-06-23,0623,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250623_pf.nc,.nc,6075598,True
ecmwf,forecast,jjas,2025,2025-08-21,0821,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250821_pf.nc,.nc,5876734,True
ecmwf,forecast,jjas,2025,2025-06-24,0624,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250624_pf.nc,.nc,6099084,True
ecmwf,forecast,jjas,2025,2025-09-11,0911,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250911_pf.nc,.nc,5514040,True
ecmwf,forecast,jjas,2025,2025-06-11,0611,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250611_cf.nc,.nc,88706,True
ecmwf,forecast,jjas,2025,2025-07-12,0712,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250712_cf.nc,.nc,88629,True
ecmwf,forecast,jjas,2025,2025-06-05,0605,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250605_cf.nc,.nc,88748,True
ecmwf,forecast,jjas,2025,2025-09-01,0901,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250901_cf.nc,.nc,85751,True
ecmwf,forecast,jjas,2025,2025-07-17,0717,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250717_pf.nc,.nc,6051253,True
ecmwf,forecast,jjas,2025,2025-06-06,0606,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250606_pf.nc,.nc,5973701,True
ecmwf,forecast,jjas,2025,2025-08-14,0814,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250814_pf.nc,.nc,5993255,True
ecmwf,forecast,jjas,2025,2025-07-10,0710,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/tp/20250710_cf.nc,.nc,89833,True
