year,fuxi_init,ecmwf_init,valid_start,valid_end,model,variable,region,week,fuxi_lead_start,fuxi_lead_end,ecmwf_lead_start,ecmwf_lead_end,pcc,rmse,bias,obs_mean,fcst_mean
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,TP,All India,Week 3,15,21,16,22,0.4242709718177848,11.902407078794242,0.966854422195255,9.948861058826134,10.91571548102139
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,TP,northwest_india,Week 3,15,21,16,22,0.2521080714109141,9.891442417126619,1.6802454872831833,7.185659725395951,8.865905212679134
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,TP,central_india,Week 3,15,21,16,22,0.18709778067048233,9.727714350444522,8.354435406774396,5.456776390129899,13.811211796904296
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,TP,south_peninsula,Week 3,15,21,16,22,0.917361409317571,1.67132089014254,0.5276844558046567,4.856386985573928,5.384071441378585
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,TP,east_northeast_india,Week 3,15,21,16,22,0.6051656425922497,22.75293680421442,-16.92656629636854,32.586238856650006,15.659672560281463
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,Z500,All India,Week 3,15,21,16,22,0.7754525668423112,11.89848684775129,-4.404195405748549,5848.582142214134,5844.177946808385
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,Z500,northwest_india,Week 3,15,21,16,22,0.836849916109566,9.77615964111505,5.059937383369692,5833.9992140876175,5839.059151470987
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,Z500,central_india,Week 3,15,21,16,22,0.5893629920280594,13.200485531931559,-11.971755360584451,5855.629994492236,5843.6582391316515
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,Z500,south_peninsula,Week 3,15,21,16,22,0.9604313887025616,14.574950889604887,-14.253698797733552,5869.299808521804,5855.04610972407
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,Z500,east_northeast_india,Week 3,15,21,16,22,0.2174957560514742,8.899289346210542,4.474635929741792,5838.546743008032,5843.021378937773
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,Z500,All India,Week 3,15,21,16,22,0.13753495718463057,17.924875669413918,-5.086951189526894,5848.582142214134,5843.495191024607
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,Z500,northwest_india,Week 3,15,21,16,22,-0.6179950817759198,18.643987654587086,8.120994924576596,5833.9992140876175,5842.120209012193
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,Z500,central_india,Week 3,15,21,16,22,0.6699716568055448,19.008631845154312,-18.421462545770055,5855.629994492236,5837.208531946466
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,Z500,south_peninsula,Week 3,15,21,16,22,0.9852514145335207,16.58933143507843,-16.144521898872334,5869.299808521804,5853.155286622932
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,ECMWF,Z500,east_northeast_india,Week 3,15,21,16,22,-0.06145968671401338,15.157763720562022,10.29659826018124,5838.546743008032,5848.843341268213
2019,2019-06-23,2019-06-22,2019-07-15,2019-07-21,FuXi,TP,All India,Week 4,22,28,23,29,0.679051901343845,4.545805739297643,1.8022399785412357,6.303160159545089,8.105400138086324
2019,2019-06-23,2019-06-22,2019-07-15,2019-07-21,FuXi,TP,northwest_india,Week 4,22,28,23,29,0.6659360314139652,3.212954337496079,1.4333955186857277,4.416500741381893,5.84989626006762
2019,2019-06-23,2019-06-22,2019-07-15,2019-07-21,FuXi,TP,central_india,Week 4,22,28,23,29,0.6729736264181895,4.001194167587334,3.07667344388453,5.074736443927327,8.151409887811855
2019,2019-06-23,2019-06-22,2019-07-15,2019-07-21,FuXi,TP,south_peninsula,Week 4,22,28,23,29,0.9185156904446591,5.269076065010383,-3.0423961427050434,9.451403147962077,6.409007005257034
