init,var,week,accA,accB,rmseA,rmseB,biasA,biasB
2026-03-05,Z500,Week 1,0.9888916760806686,0.8191759758056683,11.221132930469796,23.958367832765582,9.610268789331807,1.0503177267115085
2026-03-05,Z500,Week 2,0.6569513007622768,-0.1605589921689649,34.518040208593064,44.691272246042026,33.19262466347996,36.31425547172895
2026-03-05,Z500,Week 3,0.0695644837177673,0.34964478553219297,24.111347657261625,27.42327028854384,18.783815616112168,21.348416884270346
2026-03-05,Z500,Week 4,0.5194285559495242,0.34214572699977236,19.341047062164897,37.78133484316495,15.38585477513358,29.15900712367988
2026-03-05,Z500,Week 5,-0.07270073704479098,-0.40072146941075754,55.16955916071987,75.59564554941531,45.32489648440857,57.59772405826913
2026-03-05,Z500,Week 6,-0.7996110502250326,-0.07943897141822123,32.240034946062664,52.06926446636078,20.638557196114274,34.809085848898285
2026-03-12,TP,Week 1,0.7607650048001973,0.7658246200056203,2.439340671537804,2.3875209672714504,-0.43690240200412955,-0.3742338286987633
2026-03-12,TP,Week 2,0.21336303362360695,0.17502633460233855,2.2955349075776077,2.4788470891677967,-0.09391681167884103,-0.15829675203172855
2026-03-12,TP,Week 3,0.3434640089679563,0.26975554963865844,2.245484176146165,2.3951469642226955,-0.48491604876068184,-0.5558289275340248
2026-03-12,TP,Week 4,0.28835052897779617,0.20757237394209868,2.443011126243035,2.5459187158164305,-0.7089823090075664,-0.6833613539510255
2026-03-12,TP,Week 5,0.5803614144045232,0.4976578957544938,1.5159979572907676,1.6467204801438151,0.738283292645488,0.8278648794706476
2026-03-12,TP,Week 6,0.26639940235866927,0.21169343379019942,2.0098280354779687,2.1576985330824923,0.5720667030252379,0.6447503682097713
2026-03-12,Z500,Week 1,0.7441993508648729,-0.2148585669049198,17.102434858857066,31.26917312441173,15.635756939997927,18.756560985546166
2026-03-12,Z500,Week 2,0.5062525568613273,0.5417502072383178,32.89322039417525,38.20803406709506,29.7455775063208,32.31094595737335
2026-03-12,Z500,Week 3,0.7586833206391655,0.49782670180438543,23.5432191986236,43.74214061516737,21.765624540146728,35.5401413801346
2026-03-12,Z500,Week 4,0.2840985376730576,-0.31222183909968176,49.140258780014015,70.17778906535642,39.36930452101825,51.64232749620654
2026-03-12,Z500,Week 5,-0.7978781634418628,-0.05082849070649107,27.131015334248936,46.00561769660005,13.384304918712653,27.553965051168692
2026-03-12,Z500,Week 6,0.22339406396781533,-0.08789505796213096,10.918772109226868,32.651545577957805,-0.39112915786792823,10.37455438629615
2026-03-19,TP,Week 1,0.4999821464204936,0.4356391838599577,1.833323762157174,2.003094762089029,-0.2519448481340358,-0.3163249397610424
2026-03-19,TP,Week 2,0.5887546060224451,0.5740395468240557,1.8954821917342297,1.9296750776178773,-0.1159689583383323,-0.18688182774196363
2026-03-19,TP,Week 3,0.39651171150707337,0.3102260827673743,2.246058106025648,2.3885611875268586,-0.27744049940530746,-0.25181954662665595
2026-03-19,TP,Week 4,0.48619886645385085,0.3975945789085625,1.7757851631929633,1.9132771316094868,0.9530325628244617,1.0426141865955343
2026-03-19,TP,Week 5,0.28337197022766064,0.22851144324537723,2.0021659071986133,2.1655366207810944,0.39532093817035757,0.468004548190441
2026-03-19,TP,Week 6,-0.02269401459958279,0.04829668083062109,4.152943743367103,4.000055974532239,-1.0140862935910402,-0.8784376629903831
2026-03-19,Z500,Week 1,0.8764771167464162,0.5790301693579831,15.310321314113201,26.368787373527894,14.126271607396204,16.69219063497692
2026-03-19,Z500,Week 2,0.6831311856127432,0.4395183754948376,14.525578683960815,36.422370451181145,10.438707137447912,24.212591251462104
2026-03-19,Z500,Week 3,0.9448686189841848,-0.12351556593449571,31.396136333409178,53.489903580186,21.31259708890527,33.58412694032457
2026-03-19,Z500,Week 4,0.0106359330607167,0.18569717449806072,19.85154271738026,28.7429090273109,-3.8028472137853155,10.366292351583262
2026-03-19,Z500,Week 5,-0.18100808968389712,-0.22909575562705034,13.558079774234464,27.02114907626751,-7.155317261395895,3.6100806623437016
